Player,Nation,Pos,Age,MP,Playing_TimeStarts,Playing_TimeMin,Playing_Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,ProgressionPrgR,Per_90_MinutesGls,Per_90_MinutesAst,Per_90_MinutesG+A,Per_90_MinutesG-PK,Per_90_MinutesG+A-PK,Per_90_MinutesxG,Per_90_MinutesxAG,Per_90_MinutesxG+xAG,Per_90_MinutesnpxG,Per_90_MinutesnpxG+xAG
Yves Bissouma,ml MLI,MF,28.47,19,12,1049.0,11.7,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.7,15.0,66.0,3.0,0.17,0.0,0.17,0.17,0.17,0.04,0.02,0.06,0.04,0.06
Cristian Romero,ar ARG,DF,26.81,12,12,974.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.6,10.0,48.0,2.0,0.09,0.0,0.09,0.09,0.09,0.1,0.05,0.15,0.1,0.15
Rodrigo Bentancur,uy URU,MF,27.65,15,12,945.0,10.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,0.4,1.2,15.0,65.0,14.0,0.19,0.0,0.19,0.19,0.19,0.08,0.04,0.12,0.08,0.12
Archie Gray,eng ENG,DF,18.94,18,10,975.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micky van de Ven,nl NED,DF,23.83,9,9,788.0,8.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.2,1.5,8.0,43.0,1.0,0.0,0.23,0.23,0.0,0.23,0.04,0.13,0.17,0.04,0.17
Djed Spence,eng ENG,DF,24.53,12,8,770.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,1.2,1.3,30.0,45.0,38.0,0.0,0.12,0.12,0.0,0.12,0.02,0.14,0.15,0.02,0.15
Ben Davies,wls WAL,DF,31.82,8,7,631.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,5.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Fraser Forster,eng ENG,GK,36.92,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Bergvall,se SWE,MF,19.04,18,6,670.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.8,16.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
Timo Werner,de GER,"FW,MF",28.95,17,4,507.0,5.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,3.5,42.0,29.0,87.0,0.0,0.53,0.53,0.0,0.53,0.17,0.44,0.62,0.17,0.62
Antonín Kinský,cz CZE,GK,21.93,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Richarlison,br BRA,FW,27.77,9,2,279.0,3.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.9,2.1,8.0,10.0,17.0,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67
Mikey Moore,eng ENG,"FW,MF",17.52,7,2,185.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,9.0,7.0,30.0,0.0,0.49,0.49,0.0,0.49,0.1,0.16,0.26,0.1,0.26
Wilson Odobert,fr FRA,FW,20.22,4,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,13.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.26,0.23,0.26
Brandon Austin,eng ENG,GK,26.11,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathys Tel,fr FRA,FW,19.81,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.72,0.06,0.78,0.72,0.78
Kevin Danso,at AUT,DF,26.41,1,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.11,0.05,0.11
Sergio Reguilón,es ESP,DF,28.17,3,0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07
Alfie Dorrington,eng ENG,DF,19.83,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dane Scarlett,eng ENG,FW,20.90,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
